City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hanzhong,33.0728,107.0303,21.08,59,100,0.56,CN,1717188626
83,keflavik,64.0049,-22.5624,8.95,100,100,8.75,IS,1717188626
84,bilibino,68.0546,166.4372,6.42,55,85,0.95,RU,1717188626
85,colonia,50.9333,6.95,16.57,76,0,2.57,DE,1717188536
86,at taj,24.2049,23.2857,30.8,20,20,0.96,LY,1717188626
87,padang,-0.9492,100.3543,25.03,91,100,3.15,ID,1717188626
88,chonchi,-42.6128,-73.8092,8.56,90,100,1.71,CL,1717188627
89,adrar,20.5022,-10.0711,31.89,14,6,4.39,MR,1717188627
90,vilyuysk,63.7553,121.6247,12.78,66,7,2.68,RU,1717188627
91,enewetak,11.3474,162.3373,27.62,81,100,5.77,MH,1717188627
92,puerto carreno,6.189,-67.4859,27.99,83,40,4.63,CO,1717188627
93,susuman,62.7833,148.1667,1.66,57,61,4.92,RU,1717188627
94,el nido,11.1858,119.3956,28.44,79,62,2.42,PH,1717188627
95,oranjemund,-28.55,16.4333,11.25,86,0,1.92,NA,1717188628
96,aibak,36.2647,68.0155,21.56,29,0,2.19,AF,1717188628
97,nieuw amsterdam,5.8833,-55.0833,29.01,74,40,1.03,SR,1717188628
98,punta arenas,-53.15,-70.9167,3.06,93,100,2.57,CL,1717188390
99,antsiranana,-12.2787,49.2917,24.99,75,0,6.22,MG,1717188628
100,lincoln city,44.9582,-124.0179,23.81,72,72,10.28,US,1717188628
101,nar'yan-mar,67.6713,53.087,-2.16,96,8,2.24,RU,1717188628
102,canals,38.9625,-0.5844,20.67,68,95,0.89,ES,1717188629
103,bredasdorp,-34.5322,20.0403,10.78,83,88,1.02,ZA,1717188629
104,chibougamau,49.9168,-74.3659,19.79,21,0,1.54,CA,1717188629
105,cranbrook,49.4999,-115.7688,16.91,23,40,7.2,CA,1717188629
106,hebron,31.5333,35.1,17.75,34,2,1.49,PS,1717188629
107,nagqu,31.5,92.0,5.74,64,93,1.96,CN,1717188629
108,badger,64.8,-147.5333,19.43,38,40,2.57,US,1717188617
109,geraldton,-28.7667,114.6,10.23,81,26,7.2,AU,1717188629
110,sittwe,20.15,92.9,28.51,84,76,3.28,MM,1717188630
111,burang,30.25,81.1667,3.01,42,7,2.11,CN,1717188630
112,salahonda,2.1019,-78.7217,27.78,80,88,4.16,CO,1717188630
113,puerto ayora,-0.7393,-90.3518,27.98,87,34,1.34,EC,1717188630
114,wailua homesteads,22.0669,-159.378,27.24,80,100,4.12,US,1717188630
115,isafjordur,66.0755,-23.124,6.23,53,21,5.25,IS,1717188630
116,alice springs,-23.7,133.8833,5.75,100,0,0.0,AU,1717188630
117,remire-montjoly,4.9167,-52.2667,27.02,94,0,0.51,GF,1717188630
118,swan hill,-35.3378,143.5544,7.44,94,0,2.87,AU,1717188630
119,nuuk,64.1835,-51.7216,2.34,64,75,4.63,GL,1717188631
120,mount pearl,47.5166,-52.7813,9.19,96,100,2.06,CA,1717188520
121,maxixe,-23.8597,35.3472,21.68,84,0,3.7,MZ,1717188631
122,talnakh,69.4865,88.3972,-2.11,89,100,11.56,RU,1717188631
123,hawaiian paradise park,19.5933,-154.9731,26.04,83,100,2.57,US,1717188631
124,borogontsy,62.6683,131.1683,17.41,58,87,2.5,RU,1717188631
125,cadale,2.7603,46.3222,26.39,82,85,6.7,SO,1717188631
126,ixtapa,20.7,-105.2,28.57,70,0,6.69,MX,1717188631
127,magadan,59.5667,150.8,5.29,94,100,1.14,RU,1717188632
128,belogorsk,50.9158,128.4611,12.89,68,4,3.0,RU,1717188632
129,isola di capo rizzuto,38.96,17.0933,21.77,89,7,8.95,IT,1717188632
130,longyearbyen,78.2186,15.6401,3.91,87,75,5.14,SJ,1717188370
131,jamestown,42.097,-79.2353,19.8,42,0,3.09,US,1717188458
132,valparaiso,-33.0393,-71.6273,16.19,85,75,1.54,CL,1717188412
133,taroa,8.7058,171.2275,27.75,78,100,4.48,MH,1717188633
134,mar del plata,-38.0023,-57.5575,14.01,87,100,7.15,AR,1717188228
135,qarauyl,48.9451,79.255,6.66,71,41,2.68,KZ,1717188633
136,coquimbo,-29.9533,-71.3436,14.85,73,75,5.14,CL,1717188453
137,labytnangi,66.6572,66.4183,1.32,81,100,6.1,RU,1717188633
138,brookings,44.3114,-96.7984,21.21,51,100,4.63,US,1717188398
139,trujillo,-8.116,-79.03,18.98,77,0,5.14,PE,1717188548
140,bengkulu,-3.8004,102.2655,25.19,91,100,1.69,ID,1717188371
141,galle,6.0367,80.217,27.9,85,77,6.37,LK,1717188633
142,luanco,43.6152,-5.7934,15.88,85,6,7.15,ES,1717188634
143,kyshtovka,56.555,76.6271,9.08,35,100,3.13,RU,1717188634
144,alofi,-19.0595,-169.9187,23.94,69,75,6.69,NU,1717188634
145,hithadhoo,-0.6,73.0833,29.2,78,53,8.01,MV,1717188634
146,whakatane,-37.9585,176.9854,12.16,98,83,1.34,NZ,1717188634
147,garissa,-0.4536,39.6401,24.89,75,45,6.92,KE,1717188634
148,ndele,8.4109,20.6473,23.58,87,87,3.6,CF,1717188634
149,daru,-9.0763,143.2092,26.06,89,26,7.03,PG,1717188635
150,dolisie,-4.1997,12.6739,22.48,85,89,1.81,CG,1717188635
151,margaret river,-33.95,115.0667,19.24,72,100,9.9,AU,1717188635
152,kriva palanka,42.2019,22.3319,16.45,78,87,2.2,MK,1717188520
153,hasaki,35.7333,140.8333,17.38,89,100,5.48,JP,1717188635
154,arawa,-6.2132,155.5367,26.22,89,100,0.78,PG,1717188635
155,sao gabriel da cachoeira,-0.1303,-67.0892,26.44,86,59,0.66,BR,1717188635
156,pangoa,-12.1167,-73.0,26.76,59,21,1.43,PE,1717188635
157,pasni,25.2631,63.471,31.7,43,1,5.19,PK,1717188636
158,sechura,-5.5569,-80.8222,25.13,58,11,6.62,PE,1717188528
159,tukzar,35.9483,66.4213,18.54,31,0,1.86,AF,1717188636
160,cartagena del chaira,1.3349,-74.8429,25.67,93,42,1.39,CO,1717188636
161,mount gambier,-37.8333,140.7667,6.06,92,34,1.14,AU,1717188636
162,whitehorse,60.7161,-135.0538,15.05,28,40,5.66,CA,1717188480
163,manokwari,-0.8667,134.0833,26.49,76,85,1.98,ID,1717188636
164,zlatoust,55.1711,59.6508,9.44,69,1,1.34,RU,1717188636
165,murun-kuren,49.6342,100.1625,10.49,55,1,1.18,MN,1717188636
166,tazovsky,67.4667,78.7,-1.98,96,100,8.92,RU,1717188637
167,port mathurin,-19.6833,63.4167,24.36,77,46,12.26,MU,1717188637
168,arvika,59.6553,12.5852,16.34,89,98,1.36,SE,1717188637
169,punta del este,-34.9667,-54.95,15.06,91,75,3.58,UY,1717188637
170,castillos,-34.1667,-53.8333,11.28,88,100,2.58,UY,1717188637
171,vernon,50.2581,-119.2691,22.94,27,84,1.03,CA,1717188013
172,karimganj,24.8667,92.35,24.74,96,70,1.48,IN,1717188637
173,port-vila,-17.7338,168.3219,23.91,83,81,9.08,VU,1717188638
174,praia da vitoria,38.7333,-27.0667,19.14,82,40,7.97,PT,1717188638
175,nebraska city,40.6767,-95.8592,21.83,80,100,5.14,US,1717188638
176,de aar,-30.6497,24.0123,12.9,50,100,3.0,ZA,1717188638
177,al hufuf,25.3646,49.5653,32.19,33,0,1.54,SA,1717188473
178,yokadouma,3.5167,15.05,23.52,86,40,0.9,CM,1717188638
179,aswan,24.0934,32.907,32.61,10,0,4.12,EG,1717188380
180,fortuna,40.5982,-124.1573,18.29,72,0,5.14,US,1717188639
181,yeppoon,-23.1333,150.7333,19.03,86,94,2.43,AU,1717188639
182,fort irwin,35.2627,-116.6848,34.74,11,0,1.54,US,1717188639
183,kourou,5.1552,-52.6478,27.03,86,100,2.33,GF,1717188639
184,center,31.5107,-96.4247,27.22,72,40,0.45,US,1717188639
185,hermanus,-34.4187,19.2345,9.89,79,23,3.24,ZA,1717188639
186,salamanca,40.8333,-6.0,17.22,52,3,7.14,ES,1717188640
187,tra vinh,9.9347,106.3453,25.7,92,100,0.63,VN,1717188640
188,macusani,-14.0833,-70.4333,9.51,46,86,0.05,PE,1717188640
189,auki,-8.7676,160.7034,26.67,86,29,1.25,SB,1717188640
190,itoman,26.1247,127.6694,26.43,96,75,2.06,JP,1717188640
191,cam ranh,11.9214,109.1591,27.98,83,20,0.51,VN,1717188640
192,menongue,-14.6585,17.691,14.91,52,20,2.11,AO,1717188640
193,kargil,34.5667,76.1,3.88,61,86,1.61,IN,1717188640
194,marsabit,2.3284,37.9899,20.04,68,59,6.13,KE,1717188641
195,florence,43.7667,11.25,16.7,64,2,1.81,IT,1717188641
196,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,61,75,3.58,RU,1717188637
197,nouadhibou,20.931,-17.0347,20.99,78,0,5.66,MR,1717188641
198,muisne,0.6,-80.0333,27.43,74,43,2.74,EC,1717188641
199,boyolangu,-8.1181,111.8935,24.22,97,100,1.4,ID,1717188641
200,shasta lake,40.6804,-122.3708,35.04,20,1,1.16,US,1717188641
201,ribeira brava,32.65,-17.0667,20.35,80,0,1.11,PT,1717188641
202,dudinka,69.4058,86.1778,-1.85,92,100,2.68,RU,1717188642
203,sisimiut,66.9395,-53.6735,0.56,68,24,2.58,GL,1717188642
204,lihue,21.9789,-159.3672,27.58,77,100,4.12,US,1717188642
205,celestun,20.8667,-90.4,31.16,66,0,7.38,MX,1717188642
206,afaahiti,-17.75,-149.2833,27.93,65,8,2.5,PF,1717188642
207,phillip island,-38.4835,145.231,11.38,67,10,5.25,AU,1717188642
208,qaqortoq,60.7167,-46.0333,2.4,86,58,3.34,GL,1717188642
209,dzhalagash,45.0833,64.6667,22.56,29,15,4.38,KZ,1717188643
210,la'ie,21.6477,-157.9253,26.98,74,51,2.68,US,1717188643
211,prince rupert,54.3161,-130.3201,11.05,90,100,9.77,CA,1717188643
212,aykhal,66.0,111.5,8.61,39,94,6.12,RU,1717188643
213,coahuayana de hidalgo,18.7,-103.6583,34.27,37,69,3.69,MX,1717188643
214,quixada,-4.9714,-39.0153,24.46,86,100,2.01,BR,1717188643
215,pogranichnyy,44.4064,131.3769,11.33,97,99,1.55,RU,1717188643
216,coruripe,-10.1256,-36.1756,24.42,84,100,4.03,BR,1717188643
217,timbuktu,16.7735,-3.0074,37.15,10,27,3.09,ML,1717188644
218,tendukheda,23.4,79.55,35.94,24,83,3.3,IN,1717188644
219,inarajan village,13.2736,144.7484,28.0,91,86,3.95,GU,1717188644
220,tralee,52.2704,-9.7026,9.11,94,16,1.47,IE,1717188644
221,ust-nera,64.5667,143.2,7.65,35,0,3.29,RU,1717188644
222,chinchilla,-26.75,150.6333,17.23,98,100,0.45,AU,1717188644
223,tabligbo,6.5833,1.5,26.93,81,98,3.04,TG,1717188644
224,karymskoye,51.6167,114.35,11.6,46,57,0.93,RU,1717188644
